block_height,timestamp,difficulty,txs_count,miner_address,network_health,block_age,hash_entropy,miner_reputation,is_valid
0,1770921080,15678849,59,miner_pool_4,0.8683,124,252,0.833,1
1,1770921200,14218992,47,miner_pool_10,0.9113,135,226,0.9383,1
2,1770921320,14819626,36,miner_pool_7,0.9668,96,248,0.9294,1
3,1770921440,15367662,60,miner_pool_2,0.8559,122,221,0.9141,1
4,1770921560,14625423,41,miner_pool_8,0.9895,124,244,0.8723,1
5,1770921680,15739111,47,miner_pool_10,0.9719,144,237,0.838,1
6,1770921800,14591443,55,miner_pool_3,0.8679,125,204,0.8136,1
7,1770921920,15598521,50,miner_pool_2,0.858,124,210,0.8814,1
8,1770922040,14875319,46,miner_pool_10,0.9796,109,246,0.9387,1
9,1770922160,15729986,68,miner_pool_1,0.9605,131,247,0.8777,1
10,1770922280,15882710,46,miner_pool_6,0.9333,117,219,0.907,1
11,1770922400,15974383,45,miner_pool_9,0.9665,106,230,0.8402,1
12,1770922520,14170539,40,miner_pool_3,0.8795,140,239,0.8873,1
13,1770922640,15929908,58,miner_pool_6,0.8559,104,247,0.9287,1
14,1770922760,14434133,55,miner_pool_1,0.9984,127,212,0.8199,1
15,1770922880,14243224,53,miner_pool_7,0.9591,134,255,0.8045,1
16,1770923000,15197125,44,miner_pool_10,0.9716,137,241,0.944,1
17,1770923120,14939944,41,miner_pool_7,0.9467,105,232,0.9018,1
18,1770923240,14321341,52,unknown_miner_162,0.9041,121,210,0.5805,1
19,1770923360,14922879,64,miner_pool_9,0.8582,104,247,0.8118,1
20,1770923480,14581456,52,miner_pool_6,0.9462,100,228,0.8242,1
21,1770923600,15916708,53,miner_pool_9,0.8939,121,240,0.9283,1
22,1770923720,14671146,47,unknown_miner_675,0.9927,91,207,0.4916,1
23,1770923840,14281228,46,miner_pool_2,0.8803,127,239,0.9457,1
24,1770923960,15584725,53,unknown_miner_493,0.8585,106,251,0.2813,1
25,1770924080,15978192,54,miner_pool_6,0.9071,121,232,0.833,1
26,1770924200,15994003,54,miner_pool_2,0.8545,130,230,0.8923,0
27,1770924320,15037523,44,miner_pool_1,0.8601,93,253,0.897,1
28,1770924440,14478741,59,miner_pool_9,0.8763,149,213,0.8434,1
29,1770924560,14246735,55,unknown_miner_689,0.9709,106,219,0.427,1
30,1770924680,15760673,55,miner_pool_4,0.87,119,205,0.8299,1
31,1770924800,14966944,59,unknown_miner_511,0.9773,139,231,0.5223,1
32,1770924920,14699397,39,unknown_miner_541,0.9087,118,237,0.2541,1
33,1770925040,15498238,47,miner_pool_4,0.8803,141,207,0.8805,1
34,1770925160,15784088,48,miner_pool_1,0.932,108,204,0.9115,1
35,1770925280,15346206,50,miner_pool_10,0.9807,132,238,0.8034,1
36,1770925400,14649715,52,miner_pool_3,0.9639,123,236,0.8826,1
37,1770925520,14817505,55,miner_pool_8,0.8559,134,224,0.9081,1
38,1770925640,14690026,41,miner_pool_3,0.8593,97,255,0.9349,1
39,1770925760,15767284,46,miner_pool_2,0.884,128,204,0.8922,1
40,1770925880,15498306,45,miner_pool_7,0.9025,140,236,0.8304,1
41,1770926000,14577665,40,miner_pool_6,0.8929,117,212,0.9467,1
42,1770926120,14683907,48,miner_pool_1,0.8809,112,206,0.8089,0
43,1770926240,14322317,49,miner_pool_8,0.9855,92,235,0.8022,1
44,1770926360,15734423,60,miner_pool_7,0.9344,120,215,0.8738,1
45,1770926480,14951663,52,miner_pool_5,0.9858,101,214,0.8844,1
46,1770926600,14507025,48,unknown_miner_189,0.9514,126,240,0.6569,1
47,1770926720,14651739,49,unknown_miner_830,0.9871,130,235,0.7354,0
48,1770926840,14794208,52,miner_pool_10,0.9858,121,229,0.8501,1
49,1770926960,15590566,47,unknown_miner_967,0.8956,102,223,0.7172,1
50,1770927080,15719435,43,miner_pool_6,0.9914,137,219,0.8473,1
51,1770927200,15832141,47,miner_pool_10,0.9601,121,251,0.8578,0
52,1770927320,15562912,47,miner_pool_1,0.914,139,253,0.8459,1
53,1770927440,15410881,42,miner_pool_7,0.9738,138,230,0.872,1
54,1770927560,15614152,48,unknown_miner_524,0.9616,109,224,0.779,1
55,1770927680,15120079,40,miner_pool_7,0.9312,117,244,0.8699,1
56,1770927800,14639401,64,miner_pool_5,0.8973,118,201,0.8636,1
57,1770927920,14459020,59,unknown_miner_269,0.8738,110,227,0.4627,1
58,1770928040,15493908,42,miner_pool_9,0.8768,143,232,0.8344,1
59,1770928160,14652962,46,miner_pool_5,0.9939,130,212,0.8068,1
60,1770928280,14391742,41,miner_pool_8,0.9861,103,211,0.9013,1
61,1770928400,14983152,57,miner_pool_9,0.917,136,213,0.8967,1
62,1770928520,15993271,54,unknown_miner_843,0.9594,137,217,0.7422,1
63,1770928640,14284685,33,miner_pool_4,0.9542,140,252,0.9202,1
