height,timestamp,solve_time,difficulty,cumulative_difficulty,txs_count,block_size_bytes,network_health,miner_diversity,hash_entropy,block_accepted
0,0,120.0,1,1,0,323,1.0,0.5,129,1
1,1770423274,3600,1,2,0,79,0.5,0.0,133,1
2,1770423274,120.0,1,3,0,79,0.6667,0.0,129,1
3,1770423274,120.0,120,123,0,79,0.75,1.0,128,1
4,1770423562,288,14520,14643,0,79,0.8,1.0,113,1
5,1770423881,319,6101,20744,0,79,0.8333,1.0,135,1
6,1770423899,18,4101,24845,0,79,0.7143,1.0,135,1
7,1770423964,65,4770,29615,0,79,0.75,1.0,116,1
8,1770423974,10,5151,34766,0,79,0.6667,1.0,120,1
9,1770423984,10,5960,40726,0,79,0.6,1.0,130,1
10,1770423999,15,6883,47609,0,79,0.5455,1.0,131,1
11,1770424000,1,7880,55489,0,79,0.5,1.0,127,1
12,1770424029,29,9172,64661,0,79,0.4615,1.0,125,1
13,1770424230,201,10277,74938,0,79,0.5,1.0,144,1
14,1770424350,120,9407,84345,0,79,0.5333,1.0,131,1
15,1770424365,15,9407,93752,0,79,0.5,1.0,125,1
16,1770424480,115,10312,104064,0,79,0.5294,1.0,130,1
17,1770424485,5,10355,114419,0,79,0.5,1.0,126,1
18,1770424510,25,11338,125757,0,79,0.4737,1.0,144,1
19,1770424690,180,12210,137967,0,79,0.5,1.0,122,1
20,1770424775,85,11692,149659,0,79,0.5238,1.0,127,1
21,1770424870,95,11965,161624,0,79,0.5455,1.0,117,1
22,1770424870,120.0,12153,173777,0,79,0.5652,1.0,123,1
23,1770424895,25,13066,186843,0,79,0.5417,1.0,126,1
24,1770425095,200,13832,200675,0,79,0.56,1.0,134,1
25,1770425205,110,13224,213899,0,79,0.5769,1.0,121,1
26,1770425272,67,13293,227192,0,79,0.5926,1.0,130,1
27,1770425282,10,13646,240838,0,79,0.5714,1.0,138,1
28,1770425310,28,14393,255231,0,79,0.5517,1.0,139,1
29,1770425380,70,15043,270274,0,79,0.5667,1.0,136,1
30,1770425390,10,15401,285675,0,79,0.5484,1.0,121,1
31,1770425595,205,16201,301876,0,79,0.5625,1.0,133,1
32,1770425645,50,15608,317484,0,79,0.5758,1.0,127,1
33,1770425805,160,16069,333553,0,79,0.5882,1.0,134,1
34,1770426000,195,15815,349368,0,79,0.6,0.9972,118,1
35,1770426025,25,15380,364748,0,79,0.5833,0.9844,115,1
36,1770426190,165,15911,380659,0,79,0.5946,0.9736,129,1
37,1770426200,10,15665,396324,0,79,0.5789,0.962,127,1
38,1770426275,75,16254,412578,0,79,0.5897,0.9523,142,1
39,1770426380,105,16498,429076,0,79,0.6,0.9433,114,1
40,1770426400,20,16578,445654,0,79,0.5854,0.9345,119,1
41,1770426505,105,17108,462762,0,79,0.5952,0.9272,126,1
42,1770426535,30,17188,479950,0,79,0.6047,0.9199,122,1
43,1770426665,130,17662,497612,0,79,0.6136,0.9138,131,1
44,1770427045,380,17610,515222,0,79,0.6222,0.9073,140,1
45,1770427266,221,16396,531618,0,79,0.6304,0.8977,117,1
46,1770427286,20,15981,547599,0,79,0.617,0.8877,129,1
47,1770427301,15,16379,563978,0,79,0.6042,0.8785,142,1
48,1770427506,205,16806,580784,0,79,0.6122,0.8704,135,1
49,1770427671,165,16469,597253,0,79,0.62,0.8617,122,1
50,1770427696,25,16300,613553,0,79,0.6078,0.8531,128,1
51,1770427806,110,16650,630203,0,79,0.6154,0.8451,137,1
52,1770427816,10,16687,646890,0,79,0.6038,0.8374,123,1
53,1770427971,155,17091,663981,0,79,0.6111,0.8304,113,1
54,1770428016,45,16964,680945,0,79,0.6182,0.8233,122,1
55,1770428096,80,17232,698177,0,79,0.625,0.8168,125,1
56,1770428411,315,17375,715552,0,79,0.6316,0.8106,117,1
57,1770428626,215,16716,732268,0,79,0.6379,0.8035,135,1
58,1770428806,180,16419,748687,0,79,0.6441,0.7963,135,1
59,1770428811,5,16241,764928,0,79,0.6333,0.7892,123,1
60,1770428866,55,16578,781506,0,79,0.6333,0.732,123,1
61,1770429021,155,16771,798277,0,79,0.65,0.6724,134,1
62,1770429116,95,16669,814946,0,79,0.65,0.6093,113,1
63,1770429141,25,16740,831686,0,79,0.6333,0.5426,140,1
64,1770429176,35,17011,848697,0,79,0.6333,0.544,141,1
65,1770429226,50,17256,865953,0,79,0.6333,0.5202,146,1
66,1770429271,45,17459,883412,0,79,0.65,0.4817,124,1
67,1770429296,25,17678,901090,0,79,0.6333,0.4457,121,1
68,1770429311,15,17956,919046,0,80,0.6333,0.4103,131,1
69,1770429336,25,18269,937315,0,80,0.6333,0.3787,122,1
70,1770429371,35,18555,955870,0,80,0.65,0.3517,126,1
71,1770429557,186,18814,974684,0,80,0.6667,0.33,121,1
72,1770429872,315,18616,993300,0,80,0.6833,0.3141,128,1
73,1770429912,40,18066,1011366,0,80,0.6833,0.3018,132,1
74,1770430097,185,18284,1029650,0,80,0.6833,0.2837,134,1
75,1770430402,305,18110,1047760,0,80,0.7,0.2633,125,1
76,1770430417,15,17640,1065400,0,80,0.6833,0.2462,141,1
77,1770430577,160,17899,1083299,0,80,0.7,0.228,136,1
78,1770430612,35,17801,1101100,0,80,0.7167,0.2142,152,1
79,1770430712,100,18007,1119107,0,80,0.7167,0.2045,156,1
80,1770430752,40,18055,1137162,0,80,0.7167,0.1908,125,1
81,1770430817,65,18249,1155411,0,80,0.7167,0.1777,121,1
82,1770430827,10,18382,1173793,0,80,0.7,0.1646,124,1
83,1770430917,90,18649,1192442,0,80,0.7167,0.1565,122,1
84,1770430927,10,18723,1211165,0,80,0.7,0.1518,115,1
85,1770430977,50,18992,1230157,0,80,0.7,0.1437,126,1
86,1770431077,100,19164,1249321,0,80,0.7,0.1354,126,1
87,1770431122,45,19213,1268534,0,80,0.7167,0.1283,132,1
88,1770431372,250,19397,1287931,0,80,0.7333,0.1252,129,1
89,1770431472,100,19086,1307017,0,80,0.7333,0.1233,129,1
90,1770431527,55,19132,1326149,0,80,0.75,0.1226,127,1
91,1770431772,245,19283,1345432,0,80,0.75,0.1243,129,1
92,1770431877,105,18999,1364431,0,80,0.75,0.1232,129,1
93,1770431887,10,19032,1383463,0,80,0.7333,0.1233,141,1
94,1770432087,200,19275,1402738,0,80,0.7333,0.123,139,1
95,1770432177,90,19101,1421839,0,80,0.75,0.1202,144,1
96,1770432243,66,19165,1441004,0,80,0.75,0.1192,122,1
97,1770432268,25,19280,1460284,0,80,0.75,0.1173,113,1
98,1770432293,25,19484,1479768,0,80,0.7333,0.1176,134,1
99,1770432358,65,19689,1499457,0,80,0.7333,0.1188,127,1
100,1770432368,10,19808,1519265,0,81,0.7333,0.1204,125,1
101,1770432458,90,20048,1539313,0,80,0.7333,0.1234,138,1
102,1770432548,90,20113,1559426,0,80,0.7333,0.1264,124,1
103,1770432853,305,20179,1579605,0,80,0.7333,0.1298,119,1
104,1770433178,325,19789,1599394,0,80,0.7333,0.1318,141,1
105,1770433623,445,19379,1618773,0,80,0.7333,0.1305,119,1
106,1770433668,45,18771,1637544,0,80,0.75,0.1267,130,1
107,1770433743,75,18906,1656450,0,80,0.7667,0.1242,129,1
108,1770433803,60,18987,1675437,0,80,0.7667,0.1228,116,1
109,1770434293,490,19096,1694533,0,80,0.75,0.1203,118,1
110,1770434393,100,18454,1712987,0,80,0.7667,0.1167,134,1
111,1770434433,40,18488,1731475,0,80,0.7667,0.114,127,1
112,1770434458,25,18620,1750095,0,80,0.7667,0.1114,126,1
113,1770434543,85,18778,1768873,0,80,0.7667,0.1098,127,1
114,1770435189,646,18837,1787710,0,80,0.75,0.1078,126,1
115,1770435544,355,18005,1805715,0,80,0.75,0.1065,132,1
116,1770435854,310,17660,1823375,0,80,0.75,0.106,143,1
117,1770435959,105,17394,1840769,0,80,0.75,0.1041,123,1
118,1770436414,455,17414,1858183,0,80,0.75,0.101,132,1
119,1770436559,145,16970,1875153,0,80,0.7667,0.0982,134,1
120,1770436644,85,16938,1892091,0,80,0.7667,0.0968,126,1
121,1770436654,10,16983,1909074,0,80,0.75,0.0961,120,1
122,1770436949,295,17122,1926196,0,80,0.75,0.0946,131,1
123,1770437009,60,16903,1943099,0,80,0.7667,0.094,124,1
124,1770437154,145,16977,1960076,0,80,0.7667,0.0941,130,1
125,1770437179,25,16946,1977022,0,80,0.75,0.095,135,1
126,1770437194,15,17062,1994084,0,80,0.7333,0.0961,124,1
127,1770437199,5,17191,2011275,0,80,0.7333,0.0972,128,1
128,1770437234,35,17333,2028608,0,81,0.75,0.0983,126,1
129,1770437259,25,17438,2046046,0,81,0.75,0.0995,125,1
130,1770437304,45,17557,2063603,0,81,0.75,0.1004,143,1
131,1770437334,30,17651,2081254,0,81,0.75,0.101,124,1
132,1770437484,150,17764,2099018,0,81,0.75,0.1015,120,1
133,1770437564,80,17726,2116744,0,81,0.75,0.1019,123,1
134,1770437825,261,17776,2134520,0,81,0.75,0.1023,136,1
135,1770438020,195,17604,2152124,0,81,0.75,0.1029,128,1
136,1770438050,30,17514,2169638,0,81,0.7667,0.1031,113,1
137,1770438145,95,17621,2187259,0,81,0.7667,0.1035,129,1
138,1770438210,65,17650,2204909,0,81,0.7667,0.1037,132,1
139,1770438275,65,17715,2222624,0,81,0.7667,0.104,123,1
140,1770438305,30,17780,2240404,0,81,0.7667,0.1043,133,1
141,1770438415,110,17887,2258291,0,81,0.7667,0.1045,135,1
142,1770438555,140,17899,2276190,0,81,0.7833,0.1048,125,1
143,1770438570,15,17875,2294065,0,81,0.7667,0.105,133,1
144,1770438585,15,17998,2312063,0,81,0.7667,0.1051,125,1
145,1770438735,150,18121,2330184,0,81,0.7667,0.1048,132,1
146,1770438825,90,18086,2348270,0,81,0.7667,0.1043,118,1
147,1770438835,10,18121,2366391,0,81,0.75,0.1036,135,1
148,1770438910,75,18249,2384640,0,81,0.75,0.1025,133,1
149,1770438935,25,18302,2402942,0,81,0.7333,0.102,134,1
150,1770439320,385,18413,2421355,0,81,0.7333,0.1013,135,1
151,1770439390,70,18109,2439464,0,81,0.7333,0.1003,127,1
152,1770439570,180,18165,2457629,0,81,0.7333,0.0998,131,1
153,1770439590,20,18098,2475727,0,81,0.7333,0.0992,124,1
154,1770439705,115,18209,2493936,0,81,0.7333,0.0981,117,1
155,1770439810,105,18214,2512150,0,81,0.7333,0.0973,126,1
156,1770439895,85,18231,2530381,0,81,0.7333,0.0963,121,1
157,1770440030,135,18269,2548650,0,81,0.75,0.095,131,1
158,1770440220,190,18253,2566903,0,81,0.7667,0.0931,115,1
159,1770440481,261,18178,2585081,0,81,0.7667,0.0904,114,1
160,1770440491,10,18029,2603110,0,81,0.7667,0.0871,127,1
161,1770440521,30,18144,2621254,0,81,0.7667,0.0823,123,1
162,1770440571,50,18238,2639492,0,81,0.7667,0.0768,111,1
163,1770440631,60,18312,2657804,0,81,0.7667,0.0702,119,1
164,1770440746,115,18376,2676180,0,81,0.7667,0.0654,123,1
165,1770441031,285,18381,2694561,0,81,0.7667,0.0623,120,1
166,1770441041,10,18210,2712771,0,81,0.75,0.0613,127,1
167,1770441121,80,18323,2731094,0,81,0.75,0.0599,131,1
168,1770441386,265,18364,2749458,0,81,0.75,0.0582,125,1
169,1770441411,25,18217,2767675,0,81,0.75,0.0557,119,1
170,1770441611,200,18312,2785987,0,81,0.75,0.0555,134,1
171,1770441836,225,18232,2804219,0,81,0.75,0.055,130,1
172,1770441956,120,18129,2822348,0,81,0.7667,0.0541,116,1
173,1770442046,90,18129,2840477,0,81,0.7667,0.0526,137,1
174,1770442166,120,18158,2858635,0,81,0.7833,0.0508,116,1
